College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
Amherst College,MA,Private,"Small (<2,000)",Rural,11%,100%,57%,https://www.amherst.edu/admission/diversity/a2a,https://map.concept3d.com/?id=750#!t/1270:1,https://www.amherst.edu/admission/visit,https://www.collegegreenlight.com/colleges/Amherst-College,https://www.questbridge.org/college-partners/amherst-college,,,,11/1/2020,,1/4/2021,"Common Application,Coalition Application","https://www.amherst.edu/admission/apply/firstyear/testing#:~:text=Required%20Standardized%20Testing&text=SAT%20or%20ACT%20Testing%3A%20In,or%20ACT%20scores%20is%20optional.",https://www.amherst.edu/admission/apply/firstyear/undoc
Barnard College,NY,"Private,All Women's College","Medium (2,000 - 15,000)",Urban,12%,100%,50%,https://admissions.barnard.edu/admissions/barnardbound,https://www.youtube.com/watch?v=sx8Wsrq--Pk,https://connect.barnard.edu/portal/barnardonline,https://www.cappex.com/colleges/barnard-college,https://www.questbridge.org/college-partners/barnard-college,,,,11/1/2020,,1/1/2021,Common Application,"http://bulletin.columbia.edu/barnard-college/admissions/#:~:text=Barnard%20requires%20all%20candidates%20to,will%20consider%20them%20if%20submitted.&text=The%20SAT%20tests%20code%20number%20for%20Barnard%20is%202038.","https://barnard.edu/admissions/undocumented#:~:text=The%20College%20is%20committed%20to,during%20their%20matriculation%20at%20Barnard.&text=Undocumented%20and%20DACA%20applicants%20follow,applicants%20from%20US%20high%20schools."
Bates College,ME,Private,"Small (<2,000)",Urban,12%,100%,33%,www.bates.edu/admission/prologue/,www.bates.edu/admission/virtual-tour,https://apply.bates.edu/portal/virtual-visit?_ga=2.201469841.1065223313.1593006583-374165567.1593006583,https://www.collegegreenlight.com/colleges/Bates-College,,,,,11/15/2020,1/1/2021,1/1/2021,"Common Application,Coalition Application","https://www.bates.edu/admission/optional-testing/#:~:text=Bates%20has%20been%20a%20national,all%20students%20applying%20to%20Bates.",https://www.bates.edu/admission/undocumented-daca-applicants/
Boston University,MA,Private,"Large (15,000 - 25,000)",Urban,19%,93%,64%,https://www.bu.edu/admissions/boston-overnight/,https://boston.university-tour.com/,https://www.bu.edu/admissions/visit-us/virtual-events/,https://www.collegegreenlight.com/colleges/Boston-University,https://www.questbridge.org/college-partners/boston-university,,,,11/1/2020,1/1/2021,1/1/2021,"Coalition Application,Common Application","http://www.bu.edu/admissions/apply/first-year/#:~:text=or%20Coalition%20Application.-,Standardized%20Tests,well%20as%20all%20scholarship%20programs.","https://www.bu.edu/isso/undocumented-individuals/#:~:text=There%20are%20currently%20no%20state,of%20undocumented%20students%20on%20campus."
Bowdoin College,ME,Private,"Small (<2,000)",Suburban,9%,100%,41%,https://www.bowdoin.edu/admissions/visit/explore-bowdoin/?utm_source=mailer&utm_medium=print&utm_campaign=admissions,https://www.bowdoin.edu/admissions/visit/virtual-tour/index.html,https://admissions.bowdoin.edu/portal/virtual,https://www.collegegreenlight.com/colleges/Bowdoin-College,https://www.questbridge.org/college-partners/bowdoin-college,,,,11/15/2020,1/1/2021,1/1/2021,"Coalition Application,Common Application",https://www.bowdoin.edu/admissions/our-process/test-optional-policy/index.html,https://www.bowdoin.edu/student-aid/apply-for-aid/undocumented-students.html
Brown University,RI,Private,"Medium (2,000 - 15,000)",Urban,7%,100%,57%,,https://apply.college.brown.edu/portal/hosted_virtual_tour,https://admission.brown.edu/visit/information-session,https://www.collegegreenlight.com/colleges/Brown-University,https://www.questbridge.org/college-partners/brown-university,,,,11/1/2020,,1/1/2021,Common Application,"https://admission.brown.edu/first-year/standardized-tests#:~:text=For%20first%2Dyear%20applicants%20in,Brown%20is%20now%20test%20optional.&text=Standardized%20testing%20is%20optional%20for,submission%20of%20SAT%20Subject%20Tests.",https://www.brown.edu/ufli/programs-and-services/undocumented-student-program
California Institute of Technology,CA,Private,"Small (<2,000)",Suburban,6%,100%,73%,https://www.caltech.edu/campus-life-events/master-calendar/caltech-up-close-86852,https://poly.google.com/view/6Z_av5XpYbq,,https://www.cappex.com/colleges/california-institute-of-technology,https://www.questbridge.org/college-partners/california-institute-of-technology,,11/1/2020,,,,1/3/2021,"Common Application,Coalition Application",https://www.admissions.caltech.edu/apply/first-yearfreshman-applicants/standardized-tests,https://www.finaid.caltech.edu/Applying/international-students
Carleton College,MN,Private,"Medium (2,000 - 15,000)",Rural,19%,100%,42%,www.carleton.edu/admissions/visit/toc/,apps.carleton.edu/campus/tour,https://airtable.com/,https://www.collegegreenlight.com/colleges/Carleton-College,https://www.questbridge.org/college-partners/carleton-college,,,,11/15/2020,1/15/2021,1/15/2021,"Common Application,Coalition Application","https://www.carleton.edu/admissions/apply/steps/criteria/#:~:text=Carleton%20is%20adopting%20a%20test,you%20may%20still%20submit%20them.&text=If%20you%20decide%20to%20submit,the%20SAT%20or%20the%20ACT.","https://www.carleton.edu/admissions/apply/steps/international/undocumented/#:~:text=We%20consider%20applications%20from%20all,considered%20among%20our%20international%20applicants."
Carnegie Mellon University,PA,Private,"Medium (2,000 - 15,000)",Urban,15%,99%,75%,https://admission.enrollment.cmu.edu/pages/celebration-of-diversity-weekend,https://www.cmu.edu/visit/,https://admission.enrollment.cmu.edu/pages/information-sessions,https://www.collegegreenlight.com/colleges/Carnegie-Mellon-University,,,,,11/1/2020,,12/1/2020,Common Application,"https://admission.enrollment.cmu.edu/pages/standardized-test-requirements#:~:text=Standardized%20Testing%20Requirements&text=Recognizing%20that%20standardized%20testing%20opportunities,first%2Dyear%20Fall%202021%20applicants.",https://www.cmu.edu/oie/news-and-events/archives/2016-2017/december/undocumented-students.html
Claremont McKenna College,CA,Private,"Small (<2,000)",Suburban,10%,100%,59%,https://www.cmc.edu/admission/visit/diversityflyin,https://www.youvisit.com/tour/claremont/claremont?tourid=tour1,https://connect.cmc.edu/portal/onlineinfosession,https://www.cappex.com/colleges/claremont-mckenna-college,https://www.questbridge.org/college-partners/claremont-mckenna-college,,,,11/1/2022,,1/5/2023,"Common Application,Coalition Application","https://www.cmc.edu/admission#:~:text=CMC%20adopts%20SAT%2C%20ACT%20test,applicants%20for%20fall%202021%20admission.",https://www.cmc.edu/dean-of-students/faq-related-to-daca-students-at-claremont-mckenna-college
Colby College,ME,Private,"Small (<2,000)",Rural,10%,100%,39%,,https://www.youvisit.com/tour/colby,https://admissions.colby.edu/portal/campus-visit,https://www.collegegreenlight.com/colleges/Colby-College,https://www.questbridge.org/college-partners/colby-college,,,,11/15/2020,1/1/2021,1/1/2021,"Common Application,Coalition Application","https://www.colby.edu/admission/apply/first-year-faq/#:~:text=Colby%20is%20a%20test%20optional,Subject%20Test%20scores%20are%20permitted.",https://www.colby.edu/admission/admissions-and-financial-aid-requirements/#undocumented
Colgate University,NY,Private,"Medium (2,000 - 15,000)",Rural,23%,100%,35%,www.colgate.edu/admission-financial-aid/visit-colgate/open-house,www.youvisit.com/tour/colgate,https://connect.colgate.edu/portal/virtual-sessions,https://www.collegegreenlight.com/colleges/Colgate-University,https://www.questbridge.org/college-partners/colgate-university,,,,11/15/2020,1/15/2021,1/15/2021,"Common Application,Coalition Application","https://www.colgate.edu/news/stories/colgate-university-test-optional-fall-2021-applicants#:~:text=Colgate%20University%20announced%20today%20that,2021%20applicants%20to%20the%20University.",https://www.colgate.edu/admission-aid/financial-aid/apply-aid
College of the Ozarks,MO,Private,"Small (<2,000)",Rural,9%,84%,8%,,https://www.cofo.edu/Visit/Campus-Tours,,https://www.cappex.com/colleges/college-of-the-ozarks,,,,,,,12/31/2021,School Specific Application,,
Colorado College,CO,Private,"Medium (2,000 - 15,000)",Urban,14%,100%,35%,https://www.coloradocollege.edu/admission/introduceyourself/visit/fundedcampusvisits/,https://www.youvisit.com/tour/coloradocollege/141245?panoramaIndex=0&loc=trail1%3A6%3A1%3A1?utm_source=Svrf&ref=Svrf,https://ccbasecamp.coloradocollege.edu/portal/co-connect-with-cc,https://www.cappex.com/colleges/colorado-college,https://www.questbridge.org/college-partners/colorado-college,,11/1/2020,,11/1/2020,1/15/2021,1/15/2021,"Common Application,Coalition Application",https://www.coloradocollege.edu/newsevents/newsroom/standardized-tests-now-optional-for-admission-to-cc#.XvUALShKg2w,https://www.coloradocollege.edu/admission/application/daca-students/
Columbia University,NY,Private,"Medium (2,000 - 15,000)",Urban,5%,100%,67%,https://undergrad.admissions.columbia.edu/ce2,https://undergrad.admissions.columbia.edu/visit/virtual-tours,https://apply.college.columbia.edu/portal/virtual_visit,https://www.collegegreenlight.com/colleges/Columbia-University-in-the-City-of-New-York,https://www.questbridge.org/college-partners/columbia-university,,,,11/1/2020,,1/1/2021,"Common Application,Coalition Application",https://undergrad.admissions.columbia.edu/content/revised-testing-policy-2020-2021,https://undergrad.admissions.columbia.edu/apply/first-year/undocumented-students
Cooper Union for the Advancement of Science and Art,NY,Private,"Small (<2,000)",Urban,16%,99%,68%,,https://cooper.edu/admissions/visit/virtual-tour,,https://www.collegegreenlight.com/colleges/Cooper-Union-for-the-Advancement-of-Science-and-Art,,,,,11/1/2020,,1/5/2021,Common Application,"https://cooper.edu/admissions/facts/faq#:~:text=Applicants%2C%20click%20here.-,What%20tests%20and%20documents%20do%20I%20need%20to%20apply%20to,2021%20and%202022%20entering%20classes.",https://cooper.edu/admissions/admitted-students/international
Cornell University,NY,Private,"Medium (2,000 - 15,000)",Rural,11%,100%,64%,,https://www.cornell.edu/visit/,http://blogs.cornell.edu/admissions/information-session/,https://www.collegegreenlight.com/colleges/Cornell-University,,,,,11/1/2020,,1/2/2021,Common Application,"https://admissions.cornell.edu/news/cornell-university-suspends-actsat-testing-requirement-2021-applicants#:~:text=Cornell%20overall%20has%20not%20planned,test%2Doptional%20admission%20policy%20permanently.&text=live%20near%20or%20attend%20a,they%20did%20in%202019%3B%20and",https://finaid.cornell.edu/apply-aid/daca-undocumented-applicants-and-green-card-applicants
Dartmouth College,NH,Private,"Medium (2,000 - 15,000)",Rural,8%,100%,49%,https://admissions.dartmouth.edu/visit/visitation-programs/dartmouth-bound-summer-program,https://admissions.dartmouth.edu/visit/campus-tours#,https://apply.dartmouth.edu/portal/campus-visit,https://www.collegegreenlight.com/colleges/Dartmouth-College,https://www.questbridge.org/college-partners/dartmouth-college,,,,11/1/2020,,1/2/2021,Common Application,"https://admissions.dartmouth.edu/glossary-term/standardized-testing#:~:text=Dartmouth%20College%20is%20test%20optional%20for%20the%20Class%20of%202025.&text=Testing%20is%20required%2C%20but%20it,Admissions%20in%20evaluating%20an%20application.",https://admissions.dartmouth.edu/glossary-term/undocumented-students
Davidson College,NC,Private,"Small (<2,000)",Suburban,18%,100%,33%,www.davidson.edu/admission-and-financial-aid/plan-visit/open-house-programs/access-davidson,virtualtour.davidson.edu,https://www.davidson.edu/admission-and-financial-aid/plan-visit/tour-and-information-sessions,https://www.collegegreenlight.com/colleges/Davidson-College,https://www.questbridge.org/college-partners/davidson-college,,,,11/15/2020,1/2/2021,1/6/2021,"Common Application,Coalition Application,School Specific Application",https://www.davidson.edu/news/2020/03/30/davidson-college-goes-test-optional-three-year-pilot,https://www.davidson.edu/offices-and-services/diversity-and-inclusion/undocumented-daca-student-resources
Duke University,NC,Private,"Medium (2,000 - 15,000)",Suburban,9%,100%,56%,,https://www.youvisit.com/tour/duke,https://admiss.ugrad.duke.edu/portal/visits,https://www.collegegreenlight.com/colleges/Duke-University,https://www.questbridge.org/college-partners/duke-university,,,,11/2/2020,,1/4/2021,"Common Application,Coalition Application","https://today.duke.edu/2020/06/duke-go-test-optional-2021-admissions#:~:text=As%20the%20COVID%2D19%20pandemic,the%202020%2D21%20academic%20year.",https://studentaffairs.duke.edu/undocumented-students
Emory University,GA,Private,"Medium (2,000 - 15,000)",Suburban,16%,100%,61%,https://apply.emory.edu/core/core.html,https://www.youvisit.com/tour/emoryuniversity/141321?pl=v&m_prompt=1,https://admission.emory.edu/portal/virtualvisit,https://www.cappex.com/colleges/emory-university,https://www.questbridge.org/college-partners/emory-university,,,,11/1/2020,1/1/2021,1/1/2021,"Coalition Application,Common Application","https://apply.emory.edu/apply/first-year/tips/standardized-exam-policies.html#:~:text=SAT%2FACT,test%20policy%20for%20this%20year.",https://studentaid.emory.edu/undergraduate/how-aid-works/undocumented.html
Georgetown University,DC,Private,"Medium (2,000 - 15,000)",Urban,14%,100%,49%,,https://www.youvisit.com/tour/Georgetown%ef%bb%bf,https://uapply.georgetown.edu/portal/virtualsession,https://www.cappex.com/colleges/georgetown-university,,,11/1/2020,,,,1/10/2021,School Specific Application,https://uadmissions.georgetown.edu/flexible-testing-requirements/,https://undocumented.georgetown.edu/
Georgia Institute of Technology (Georgia Tech),GA,Public,"Large (15,000 - 25,000)",Urban,21%,65%,53%,,https://www.gatech.edu/life/virtual-campus-tour,https://admission.gatech.edu/virtual-visit,https://www.cappex.com/colleges/georgia-institute-of-technology-main-campus,,,10/15/2020,,,,1/4/2023,Common Application,https://admission.gatech.edu/first-year/standardized-tests,https://admission.gatech.edu/lawful-presence
Grinnell College,IA,Private,"Small (<2,000)",Rural,23%,100%,49%,www.grinnell.edu/admission/visit/on-campus/programs,www.youvisit.com/tour/grinnell,https://admission.grinnell.edu/portal/campus-visit,https://www.cappex.com/colleges/grinnell-college,https://www.questbridge.org/college-partners/grinnell-college,,,,11/15/2022,1/9/2023,1/15/2021,Common Application,"https://www.grinnell.edu/standardized-testing#:~:text=The%20essay%20component%20of%20both,minimum%20score%20requirements%20for%20admission.&text=Grinnell%20does%20not%20require%20the,to%20submit%20SAT%20II%20scores.",https://www.grinnell.edu/news/grinnells-statement-undocumented-students
Hamilton College,NY,Private,"Small (<2,000)",Rural,16%,100%,36%,https://my.hamilton.edu/admission/promise-program,www.youvisit.com/tour/hamilton,www.hamilton.edu/admission/information-sessions,https://www.collegegreenlight.com/colleges/Hamilton-College,https://www.questbridge.org/college-partners/hamilton-college,,,,11/15/2020,1/1/2021,1/1/2021,"Common Application,Coalition Application",https://www.hamilton.edu/admission/apply/testing,https://www.hamilton.edu/offices/dos/international-student-services/immigration-resources
Harvard University,MA,Private,"Medium (2,000 - 15,000)",Urban,5%,100%,66%,,https://college.harvard.edu/admissions/explore-harvard/virtual-tour,https://apply.college.harvard.edu/portal/online-info-sessions,https://www.collegegreenlight.com/colleges/Harvard-College,,,11/1/2020,,,,1/1/2021,"Common Application,Coalition Application",https://college.harvard.edu/about/news-announcements/admission-application-considerations-class-2025,https://undocumented.harvard.edu/
Harvey Mudd College,CA,Private,"Small (<2,000)",Suburban,14%,100%,69%,,https://www.youtube.com/watch?v=Q3Hc_mleL0U,https://www.hmc.edu/admission/2020/04/18/admission-office-hours-and-information-sessions-online/,https://www.cappex.com/colleges/harvey-mudd-college,,,,,11/15/2020,1/5/2020,1/5/2021,"Common Application,Coalition Application","https://www.hmc.edu/admission/apply/first-year-students/application-materials/#:~:text=Standardized%20Testing,ACT's%20(see%20full%20announcement).","https://www.hmc.edu/admission/afford/international-student-financial-aid/undocumented-students/#:~:text=Undocument%20students%20are%20students%20who,visas%20and%20chose%20to%20stay"
Haverford College,PA,Private,"Small (<2,000)",Suburban,16%,100%,47%,www.haverford.edu/havealook,www.youvisit.com/tour/110240/128235/,https://www.haverford.edu/admission/visiting,https://www.collegegreenlight.com/colleges/Haverford-College,https://www.questbridge.org/college-partners/haverford-college,,,,11/15/2020,1/1/2021,1/15/2021,Common Application,https://www.haverford.edu/admission/blog/haverford-adopts-test-optional-policy,"https://www.haverford.edu/financial-aid/frequently-asked-questions/international-students-faq#:~:text=of%20their%20application.-,We%20do%20meet%20100%25%20of%20the,need%20of%20all%20admitted%20students.&text=Can%20undocumented%20students%20receive%20financial,need%20of%20all%20admitted%20students."
